Country,Both,Male,Female
 Afghanistan ,21.6,21.5,21.8
 Albania ,26.1,26.6,25.6
 Algeria ,26.2,25.5,27
 Andorra ,27.5,27.8,27.1
 Angola ,24.1,23.5,24.6
 Antigua and Barbuda,28.1,27.3,29.5
 Argentina ,27.7,27.8,27.5
 Armenia ,26.7,25.9,27.4
 Australia ,27.2,27.6,26.8
 Austria ,25.4,26.5,24.4
 Azerbaijan ,27.4,26.6,28.1
 Bahamas,28.8,28,29.6
 Bahrain ,28.2,28,28.6
 Bangladesh ,21,20.7,21.2
 Barbados ,28.7,27.4,30
 Belarus ,26.6,27.1,26.2
 Belgium ,25.5,26.2,24.7
 Belize ,28.9,27.6,30.2
 Benin ,23.4,22.6,24.3
 Bhutan ,23.8,23.4,24.2
 Bolivia ,25.9,24.6,27.3
 Bosnia and Herzegovina ,26.1,26.5,25.7
 Botswana ,24.7,22.9,26.6
 Brazil ,25.9,25.9,26
 Brunei ,26.2,25.8,26.6
 Bulgaria ,26,26.7,25.3
 Burkina Faso ,22.1,22.1,22
 Burundi ,20.9,20.4,21.3
 Cambodia ,21.9,21.9,22
 Cameroon ,24.4,23.8,25.1
 Canada ,27.2,27.6,26.8
 Central African Republic ,22.4,21.6,23.2
 Chad ,22.3,22.1,22.5
 Chile ,27.8,27.6,28
 China ,23.9,24.2,23.6
 Colombia ,25.9,25.4,26.5
 Comoros ,24.1,23,25.1
 Costa Rica ,26.9,26.7,27.1
 Croatia ,25.5,26.5,24.6
 Cuba ,26.2,25.6,26.7
 Cyprus ,27,27.6,26.3
 Czech Republic ,26.9,27.8,26
 Denmark ,25.3,26,24.5
 Djibouti ,23.3,22.7,23.9
 Dominica ,27,25.1,29
 Dominican Republic ,26.7,26,27.4
 Ecuador ,27,26.4,27.7
 Egypt ,29.2,27.6,30.7
 El Salvador ,27.4,26.8,28
 Equatorial Guinea ,25.6,25,26.1
 Eritrea ,20.5,20.1,21
 Estonia ,25.5,27,24.3
 Ethiopia ,20.6,20.2,21
 Fiji ,27.2,26.1,28.4
 Finland ,25.9,26.5,25.3
 France ,25.3,26.1,24.6
 Gabon ,25.5,24.6,26.4
 Gambia,24,23,25.1
 Georgia ,27.2,27.2,27.3
 Germany ,26.3,27,25.6
 Ghana ,24.2,23.4,25.1
 Greece ,27.3,27.4,27.2
 Grenada ,27,25.2,28.7
 Guatemala ,26.5,25.8,27.1
 Guinea ,22.7,22.1,23.3
 Guinea-Bissau ,23.1,22.2,23.9
 Guyana ,26.3,25,27.6
 Haiti ,24.1,24.2,24
 Honduras ,26.4,25.5,27.3
 Hungary ,26.3,27.5,25.2
 Iceland ,25.9,26.7,25.1
 India ,21.9,21.8,22.1
 Indonesia ,22.9,22.4,23.4
 Iran ,26.2,25.3,27.2
 Iraq ,28,27.2,28.8
 Ireland ,27.5,27.9,27.1
 Israel ,26.3,26.3,26.2
 Italy ,26,26.8,25.2
 Jamaica ,27.4,25.5,29.2
 Japan ,22.6,23.6,21.7
 Jordan ,28.9,28.2,29.7
 Kazakhstan ,27.4,27.4,27.5
 Kenya ,23,21.9,24
 Kiribati ,29.6,28.7,30.5
 Kuwait ,30,29.5,30.8
 Kyrgyzstan ,26.2,25.6,26.8
 Laos ,22.6,22.4,22.7
 Latvia ,25.8,26.8,25.1
 Lebanon ,27.8,28,27.6
 Lesotho ,24.9,22.7,27.1
 Liberia ,24,23.2,24.9
 Libya ,28.4,27.2,29.6
 Lithuania ,26.6,27.3,26
 Luxembourg ,26.5,27.6,25.5
 Madagascar ,21.1,20.9,21.2
 Malawi ,22.8,22.3,23.3
 Malaysia ,25.3,25,25.6
 Maldives ,25.1,24.2,25.9
 Mali ,22.8,22.6,23
 Malta ,27.2,27.5,26.8
 Marshall Islands ,29.2,28.4,30
 Mauritania ,24.8,23.2,26.4
 Mauritius ,25.6,25,26.2
 Mexico ,28.1,27.5,28.7
 Micronesia ,29.4,27.8,31
 Mongolia ,26,25.5,26.4
 Montenegro ,26,26.5,25.5
 Morocco ,25.6,25.2,25.9
 Mozambique ,22.3,21.6,23
 Myanmar ,22.6,22.1,23.2
 Namibia ,24.3,22.9,25.6
 Nauru ,32.5,32.1,32.8
 Nepal ,22.2,22.4,22
 Netherlands ,25.4,25.9,25
 New Zealand ,27.9,28,27.8
 Nicaragua ,26.9,26,27.8
 Niger ,21.7,21.3,22.2
 Nigeria ,23.4,22.8,24
 Norway ,26,26.9,25.2
 Oman ,26.9,26.8,27.1
 Pakistan ,23.8,23.3,24.4
 Palau,29.4,29.4,29.5
 Panama ,27.1,26.4,27.7
 Papua New Guinea ,25.3,25,25.6
 Paraguay ,25.8,25.6,26
 Peru ,26.3,25.7,26.9
 Philippines ,23.2,22.9,23.4
 Poland ,26.4,27,25.7
 Portugal ,26.2,26.7,25.7
 Qatar ,29.2,29,30.1
 Romania ,25.3,25.7,24.9
 Russia ,26.5,26.1,26.8
 Rwanda ,22,21.3,22.7
 Saint Kitts and Nevis ,29.7,28.4,30.9
 Saint Lucia ,29.6,28.9,30.2
 Saint Vincent and the Grenadines ,27.3,26.5,28.1
 Samoa ,31.7,29.9,33.5
 Sao Tome and Principe ,24.8,23.9,25.6
 Saudi Arabia ,28.5,28.3,28.7
 Senegal ,23,21.8,24.1
 Serbia ,25.8,26.4,25.2
 Seychelles ,26.8,25.6,28
 Sierra Leone ,22.8,22,23.6
 Singapore ,23.7,24.3,23.2
 Slovakia ,26.5,27.4,25.7
 Slovenia ,26.9,27.5,26.3
 Solomon Islands ,25.5,24.5,26.4
 Somalia ,21.9,21.2,22.5
 South Africa ,27.3,25.4,29.1
 Spain ,26.7,27.4,26
 Sri Lanka ,23,22.5,23.5
 Sudan ,25.2,23.7,26.7
 Suriname ,27.4,26.5,28.2
 Sweden ,25.8,26.7,24.9
 Switzerland ,25.3,26.7,23.8
 Syria ,28.1,27.2,29
 Tajikistan ,25.4,25.5,25.3
 Thailand ,24.1,23.6,24.6
 Togo ,23.2,22.4,24
 Tonga ,31.9,30.4,33.5
 Trinidad and Tobago ,28.7,27.9,29.4
 Tunisia ,26.8,26,27.5
 Turkey ,27.8,27.1,28.5
 Turkmenistan ,26.4,26.4,26.4
